CustomerID,Lookalikes,Scores
C0001,"['C0173', 'C0177', 'C0122']","[0.9999822241148129, 0.9999136617563172, 0.9998426710884338]"
C0002,"['C0030', 'C0029', 'C0031']","[0.9999152743489922, 0.9998960037462239, 0.9996529997656751]"
C0003,"['C0136', 'C0073', 'C0197']","[0.9993647966515781, 0.9992042134482282, 0.9986867719970041]"
C0004,"['C0195', 'C0072', 'C0106']","[0.9998423100892333, 0.9997713163562663, 0.9997031511204575]"
C0005,"['C0125', 'C0064', 'C0105']","[0.9999844278138276, 0.9999810618734628, 0.9998967432029299]"
C0006,"['C0079', 'C0117', 'C0096']","[0.9999960246961133, 0.999713805121163, 0.9993963106674695]"
C0007,"['C0171', 'C0170', 'C0082']","[0.9999789040965398, 0.9999005788124937, 0.9997568382149598]"
C0008,"['C0047', 'C0157', 'C0019']","[0.9997390583489363, 0.9994908768955565, 0.9994206040050511]"
C0009,"['C0119', 'C0147', 'C0083']","[0.9927369170687647, 0.9872117118648772, 0.9868063543069748]"
C0010,"['C0111', 'C0109', 'C0134']","[0.9990691183903306, 0.9987937007009234, 0.9986892630471446]"
C0011,"['C0046', 'C0131', 'C0057']","[0.9999827607859367, 0.9999600149019637, 0.9999485979367423]"
C0012,"['C0070', 'C0041', 'C0159']","[0.9999097748424088, 0.9998940632823299, 0.9998888868632009]"
C0013,"['C0059', 'C0048', 'C0183']","[0.9999855424839115, 0.9998053139216843, 0.9998039818723415]"
C0014,"['C0110', 'C0020', 'C0080']","[0.9956793308352242, 0.9602669246392229, 0.9461875589203816]"
C0015,"['C0135', 'C0059', 'C0013']","[0.9996783425475396, 0.9994966695229605, 0.9993116709828805]"
C0016,"['C0126', 'C0061', 'C0051']","[0.9990846867101664, 0.9989389585244475, 0.9989289640240487]"
C0017,"['C0181', 'C0175', 'C0086']","[0.9999464908874568, 0.9998526816484384, 0.9997309634704927]"
C0018,"['C0052', 'C0129', 'C0143']","[0.9997085491588776, 0.99967882499014, 0.9994209211366367]"
C0019,"['C0047', 'C0008', 'C0161']","[0.999572526455597, 0.9994206040050511, 0.9994172720105158]"
C0020,"['C0080', 'C0150', 'C0130']","[0.998909177647148, 0.9966770677864544, 0.9949356172101661]"
